#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration
100	0	98	2	100	0	98	2	0.0027558247623876916	5.7	3.0
200	0	198	2	100	0	100	0	0.0024186718805901506	4.2	2.3
300	0	296	4	100	0	100	0	0.0024186718805901506	4.2	2.4
400	0	395	5	100	0	99	1	0.0024186718805901506	4.8	2.7
500	0	495	5	100	0	98	2	0.0024186718805901506	5.2	2.8
600	0	592	8	100	0	98	2	0.002325183974240863	5.3	2.9
700	0	692	8	100	0	99	1	0.002325183974240863	4.9	2.7
800	0	790	10	100	0	98	2	0.002325183974240863	5.2	2.8
900	0	889	11	100	0	100	0	0.002325183974240863	4.3	2.3
1000	0	989	11	100	0	98	2	0.0022763095549117296	5.3	2.9
duration: 140.4s
